question,answer
"Для этики имеют значение не поступки и убеждения, а знание и аргументы; обычные критерии истинности, основанные на фактах, не применимы к ценностным высказываниям – это позиция",направленный на удовольствия
Какой из перечисленных элементов входит в определение высшего человеческого блага у Аристотеля?,все вышеперечисленные (разумная деятельность; деятельность сообразно добродетели; полный срок жизни)
"Поступки, сообразные добродетелям, согласно Аристотелю:",приносят удовольствие сами по себе
"Согласно И.Канту, правдивость:",является безусловным долгом каждого вне зависимости от обстоятельств
"С точки зрения Канта, ложь всегда вредна, потому что",дискредитирует саму ценность правдивости
На какой возможный риск лжи во спасение указывает Кант?,"ты станешь виновником смерти человека, потому что солгав наугад, случайно назовешь его правильное местоположение"
"По Дж.Э.Муру, важнейшим вопросом этики является следующий:",Что обозначает слово «добро»?
"Сравнивая слова «добро» и «желтый», Дж.Э.Мур ставит целью показать, что:",они оба являются простыми качествами
"Коль скоро, по Дж.Э.Муру, «благо» есть простое качество, относительно него осмысленно ставить только такие вопросы:","существуют ли причинная связь каким-либо предметом и теми предметами, которые имеют качество «благо»"
"В.С. Соловьев формулирует важную для всей этики проблему свободы воли и детерминизма, которая заключается в том, что","все действия человека имеют естественную причину, поэтому нельзя говорить о нравственности"
"В.С. Соловьев полагал, что особенностью человека, делающей из него нравственное существо, является",нравственность невозможно свести к психологии
"Согласно И.Канту, во всех показаниях быть правдивым, честным – это:",заповедь разума
"Каково, по В.С. Соловьеву, положение этики среди других дисциплин?","содержательно она связана с религией, а формально – с теоретическою философией"
"Согласно В.С. Соловьеву, в определенные периоды истории человечества идея добра может быть лишена содержания.",Да
"В.С. Соловьев исходит из того, что нравственная философия состоит в обосновании и привитии человеческой природе первоначально чуждых ей, но благоприятных для нее правил.",Нет
В.С. Соловьев считает важным для этики опровергнуть сомнения в реальном существовании внешнего мира и других людей.,Да
"Согласно В.С. Соловьеву, даже в психологической жизни животных можно усмотреть определенный источник нравственности.",Да
"В.С. Соловьев утверждает, что нравственная необходимость это понятие о совместимости нравственного выбора с представлением о жесткой причинно- следственной связи в мире.",Да
"В.С. Соловьев утверждает, что, поскольку нравственность естественна, достаточно одной только «нравственной восприимчивости в натуре субъекта»",Нет
В.С. Соловьев также ставит вопрос о возможности сознательного выбора человеком зла.,Да
"1. Верно ли, что истина с точки зрения Хайдеггера является историческим феноменом, то есть представления об истине не тождественны в различные исторические эпохи?",ДА
"3. Бэкон полагает, что человек склонен рассматривать вещи и окружающий мир беспристрастно.",НЕТ
5. Самыми тягостными идолами Бэкон считает идолы рода (которые толкают человека на ошибки в силу самой природы человека).,НЕТ
"7. Любому исследователю, согласно Бэкону, в построении научных теорий необходимо следовать за тем, что особенно сильно захватило и пленило его разум.",НЕТ
"У. Бек утверждает, что в современном мире идёт процесс не только разрушения природы цивилизацией, но и разрушения самой цивилизации.",Да
"У. Бек. соглашается с исследователями, утверждающими, что глобальные проблемы могут быть предотвращение сознательными усилиями тех международных сообществ, которые их породили.",Нет
"Такие глобальные опасности, как озоновые дыры, парниковый эффект и т.п. У.Бек считает порождением развития техники, которое было вызвано к жизни стремлением к обогащению.",Да
"У.Бек подчеркивает, что военные конфликты и разрушение окружающей среды - разные проблемы, требующие отдельных решений.",Нет
"У.Бек полагает, что инструментом предотвращения мировой катастрофы может стать наука, исследующая причины происходящего.",Нет
"Термином ""макдоналдизация"" У.Бек называет глобальное распространение стандартов качества обслуживания.",Нет
"Согласно афоризму У.Бека, в условиях глобальной культуры современности люди есть то, что они производят.",многообразия человеческого опыта
"Согласно античной традиции, впервые слово «философия» употребил:",Пифагор
"Уже в античности, помимо обоснования знания, важной задачей философии стало:",определение правильного образа жизни
Мировоззрение включает в себя осознание отношения:,все вышеперечисленное (человека к миру; человека к самому себе; отдельного человека к человечеству в целом)
"Важность ценностей как части структуры мировоззрения определяется тем, что они:",выражают основные потребности и интересы человека
"«Жизненная философия», «житейская мудрость»:","позволяет человеку осуществлять выбор, следуя избранным идеалам"
Особенность отношения философии к тому или иному мировоззрению того или иного общества в том:,все вышеперечисленное (она выражает потребность рационального осмысления важнейших основ мировоззрения; делает мировоззрение предметом анализа; является самосознанием данного мировоззрения)
«Категории» могут рассматриваться как:,все вышеперечисленное (самые общие понятия; формы мышления; формы языка)
Знание отождествлял с добродетелью:,Сократ
Философия является наукой потому что:,знание рассматривается философией как ориентир и высший идеал
"Философы Нового времени (Р.Декарт, Ф.Бэкон и др.) установили, что в идеал научного знания входит:",все вышеперечисленное (доказательность; систематичность; проверяемость)
К областям философии (философским наукам) не относится:,поэтика
"«Истина», «утверждение», «отрицание», «познание» являются категориями такой философской науки, как:",гносеология
"«Благо», «справедливость», «добродетель» являются категориями такой философской науки, как:",этика
"В чем причина того, что работа И.Ньютона называлась «Математические начала натуральной философии», К.Линнея – «Философия ботаники», а Ж.Б.Ламарка – «Философия зоологии», и они считались частью философии?",они все рассматривали основные категории и проблемы своих областей
Философия не является точной наукой...,"... но философы никогда не согласятся с тем, что философия не наука вообще."
Эпистемология – это философская наука о:,знании
"Метафизическая точка зрения исходит из того, что",сущность всякой вещи изначально неизменна
Диалектический метод был в новоевропейской философии обновлен:,Г.В.Ф.Гегелем
"То, что многие философские направления в ХХ в. тесно переплетаются искусством, имеет причиной:","все вышеперечисленное (сомнение в том, что классическая наука и рационализм способны реализовать претензию на системность, объективность и доказательность; глобальные исторические события первой половины XX в.; то, что художественно- поэтическая рефлексия может дать больше в решении вопроса о человеческой свободе, чем рационализм и наука)"
"То, что именно поэты, а не философы, являются подлинными хранителями «голоса бытия» и истины, считал:",М.Хайдеггер
"Такие разделы философии, как философия истории, философия науки и техники, философская антропология, социальная философия обособились в отдельные дисциплины:","разумно следовать таким общим правилам, которые удовлетворили бы эгоизм каждого"
"Ряд философов утверждает, что мир не может быть познан. По мнению Ф.Энгельса, эта позиция лучше всего опровергается:",практикой
"Согласно Ф.Энгельсу, наука первоначально смотрела на мир ограниченно, и подлинная философия помогает науке осознать и преодолеть проблему:","отсутствия понимания того, что и материя, и человеческое общество находятся в развитии"
"Согласно Г.-Г. Гадамеру, связи философского мышления с языком в том, что:","оно требует усилий по осознанию себя и мира, которому потом требуется найти выражение в языке"
"По Г.-Г. Гадамеру, то, что естественные науки стали играть лидирующую роль, приводит к:",доминированию логики и логического анализа языка
Какое суждение лучше всего отражает позицию Х. Ортега-и-Гассета?,человечество обращает внимание всегда на наиболее близкие для него истины
"Х. Ортега-и-Гассет полагал, что философские вопросы выступают:",ориентиром развития европейской науки и культуры
Какой вид истины отсутствует в классификации Вл.Соловьева?,относительная
"Высшее содержание научной деятельности, по В.С.Соловьеву, должно состоять в:",объяснении сущности и целей существования мира
"Указанный Максом Шелером парадокс теоретического познания сущности вещей состоит в том, что:","можно использовать в качестве примеров не реальные, а воображаемые вещи"
"Согласно Шелеру, изучение наиболее общих, междисциплинарных проблем естественных наук (понимание жизни, материи и т.п.) относится к:","к тому, что сам Шелер называл «метафизическим знанием» или «знанием ради спасения»"
"По Г.-Г. Гадамеру, формирование понятий как единиц человеческого мышления:",обусловлено уже имеющимся языком и историей истолкования мира
"По Х. Ортега-и-Гассету, нужно помнить, что:","может случиться, что настоящая истина не найдет выражения в той или иной эпохе, или её смогут понять только несколько человек"
Какое из перечисленных слов может обозначать мир в целом?,все вышеперечисленные (природа; универсум; реальность)
"Важность природы для человека в том, что она является источником:",все вышеперечисленные (существования человека; всех потребительских благ; эстетического удовольствия)
"Если учесть, что природа порождает человека, постоянно присутствует в нас и в нашей жизни, является важной составляющей многих окружающих нас предметов, а близость человека к природе – явное благо, то отрыв от природы будет значить:",смерть
"Отношение к природе как к совершенству, гармонии характерно для",античности
"Согласно общей установке античности, познание природы, космоса, его порядка является:",высшей целью человека
Духовность и аскетизм поддерживается и пропагандируется официальной культурой:,Средневековья
Идея подчинения природы нуждам человека характерна для культуры,Нового времени
"Гармония с окружающим миром характерна для традиционных культур, в то время как инновационные культуры зачастую вступают на путь борьбы «со стихией». Такой стала культура:",Нового времени
"Источник экологических проблем XX в., варварского отношения к природе:",антропоцентризм Нового времени
Термин «экология» введен,Э.Г. Геккелем в книге «Общая морфология организмов»
В условиях современности одним из основных вопросов экологии становится,глобальный экологический кризис
«Экологическая культура» включает в себя,все вышеперечисленное (уважение к природе; защиту природы и человека от него самого; преодоление агрессивно-потребительского отношения к природе)
Специфической особенностью современного периода взаимоотношений человека и природы является:,разработка проектов решения кризисных ситуаций в природоиспользования
"Для современного общества с его глобальным использованием техники, распространением человека по всей поверхности Земли, природа планеты становится",частью культуры
"Желательным состоянием социума в условиях современности с ее экологическими кризисами, глобальным использованием техники и распространением массовой культуры потребления является",устойчивое равновесие
Важнейшим моментом в смене коммуникативных моделей человечества стало,все вышеперечисленное (появление письменности; изобретение печатного станка; распространение электронных информационных технологий)
"Периодизация техники, основанная на выделении доиндустриальной, индустриальной и постиндустриальной стадии, принадлежит:",Э. Тоффлеру
"Узкая специализация работников и машинное производство характерны для такого периода развития техники, как",индустриальный
В книге «Третья волна» Э. Тоффлер предложил периодизацию историко-культурного процесса в зависимости от:,технологических инноваций
Закончите знаменитый афоризм М.Маклюена: Метод коммуникации,... и есть само сообщение
"С точки зрения М.Маклюена, жизнь человечества изменяет",любой новый метод и средство коммуникации
"Целостность человеческого труда в доиндустриальную эпоху в том, что субъект труда","сам выполняет все действия, необходимые для получения завершенного изделия"
В условиях современности ситуация риска разворачивается в следующих областях,во всем вышеперечисленном и еще во многом другом (в медицине; в проблемах межличностного общения; в производственных катастрофах)
"Какой из перечисленных ниже признаков, по Г.Риккерту, принадлежит природе:",все вышеперечисленные (существующее само по себе; не требующее вмешательства человека ради своего возникновения; не имеющее отношение к культуре)
"В понимании Г.Риккерта, объект культуры:",возникает из объекта природы благодаря присоединению к нему ценности
"Согласно терминологии Г.Риккерта, вещи сами по себе уже являются для нас:",благами
У. Бек призывает осознать единство человечества,перед лицом глобального экологического кризиса
"У. Бек полагает, что разрушение окружающей среды непосредственно связано с:",бедностью
"У. Бек полагает, что само современное общество выработало практику, которая способна стать одним из средств предупреждения будущих глобальных проблем. Это:",публичность принятия решений
"Опасной причиной межцивилизационной войны, С. Хантингтону, является:",изменение расстановки сил между стержневыми странами разных цивилизаций
"В предполагаемом сценарии межцивилизационной войны, описанном С. Хантингтоном, Россия:",в конце концов в качестве полноправного члена вступает в НАТО
"По С. Хантингтону, более стабильным может оказаться мир, в котором:",ядерным оружием обладают одно или два ключевых государства в каждой цивилизации
"По Э. Тоффлеру, основное требование, которое предъявляется в последние века поотношению к новым технологиям – это...",возможность работать на экономический рост и военную мощь
"У Э. Тоффлера принципиальное отличие так называемой «Третьей волны» от предыдущих состоит в том, что:","эта волна начинается не с технологий, а с социально-экономических задач, которые стоят перед обществом"
"«Демассификация» цивилизации, которую отражают средства массовой информации, влечет за собой скачок объема информации, которой люди обмениваются друг с другом, считает Э. Тоффлер. Это способствует тому, что:","люди нуждаются в информации, чтобы предвидеть, как другие люди будут относиться к ним самим"
"Согласно Э. Тоффлеру, современные выступления против передовых технологий связаны с тем, что люди в техническом рывке чувствуют угрозу для себя.",Да
"«Технореволюционеры», в понимании Э. Тоффлера, это те, кто, исходя из факта, что новые технологии способны нанести непоправимый ущерб планете, требуют, чтобы новые технологии были более экологичны, чем более ранние разработки.",Да
"Явление, которое Э. Тоффлер называет «первой волной», связано с обилием образов и информации, с которой сталкивался в течение жизни человек.",Нет
"По Э. Тоффлеру, во время «Второй волны» образы, разработанные централизованно, служили для индивидуализации человека, для его осознания самого себя и связи с окружающим миром.",Нет
"Э. Тоффлер полагает, что сейчас для представителей любого общества, любой группы людей существуют свои журналы. Это связано с дешевизной малотиражных изданий, а также с запросом на такие издания.",Да
"Демассифицированные средства массовой информации, а также возвышение клип- культуры, по Э. Тоффлеру, существенной чертой имеют согласие по основным политическим, научным и другим вопросам. Это связано с тем, что общество стремится к унификации, к консенсусу.",Нет
"Именно с И.Канта в эстетике идет традиция, рассматривать роль субъекта в эстетическом восприятии как несущественную.",Нет
Эстетический опыт позволяет человеку найти свое место во вселенной.,Да
"Эстетическое сознание только в последние столетия стало частью человеческого сознания, поэтому его изучение только начинается.",Нет
"В.В. Бычков отстаивает идею, что эстетический опыт был присущ человеку с древности",Да
"Согласно В.В. Бычкову, эстетический опыт означает только одно – умение воспринимать эстетические ценности",Нет
Понятие природы является важным,Да для философии культуры.
"Понятие природы обозначает конкретно все разнообразие явлений в мире. Ему нельзя давать узкой трактовки, например, как среда обитания человека.",Нет
Новоевропейский девиз «Знание — сила!» обозначает идею изучения природы ради сохранения ее богатства силами просвещенного человечества.,Нет
Особенностью современной культуры является проблема изменения природной среды под влиянием деятельности человека.,Нет
"Особенность будущего как предмета исследования в том, что оно помогает проверить уже имеющиеся научные модели.",Да
"В работах Ю. М. Лотмана и М. Маклюэна представлен схожий подход к исследованию общества. Различие между авторам только в том, что один является марксистом, а другой – нет.",Нет
В определенном смысле технической революцией можно считать создание каменных орудий труда древним человеком.,Да
"С точки зрения Р. Коллингвуда, особенность философии в том, что она исследует мысль саму по себе.",Нет
"По Р. Коллингвуду, прошлое для философа истории – это систематическая связь объектов, познанных наукой историей.",Да
"Р. Коллингвуд замечает, что философия является по природе именно философией истории, поскольку происходит из Древней Греции, в которой и возникла наука история.",Нет
"Р. Коллингвуд заявляет, что ни точные, ни естественные науки не способны исследовать историю.",Да
"Р. Коллингвуд полагает, что изучающий философию истории должен иметь собственный опыт исторического мышления, а это значит, что это доступно любому образованному человеку.",Нет
"Р. Коллингвуд сводит предмет истории к таким фактическим данным, как документы.",Да
"Р. Коллингвуд считает, что наибольшей рефлексии и философского опыта требует ответ на вопрос, каково определение истории.",Нет
"Ретроспективный взгляд сталкивается с крайне противоречивым определением Красоты во все времена, согласно У. Эко.",Нет
"Как говорит У. Эко, противоречие между ""Красотой провокации"" и ""Красотой потребления"" не типично для ХХ в.",Нет
"По У. Эко, основную линию выражения ""Красоты провокации"" можно найти в авангардистском искусстве.",Да
"У. Эко утверждает, что цель массовой культуры ХХ в. - сконструировать новый идеал Красоты.",Нет
"Согласно М.Шелеру понятие «человек» двусмысленно – потому, что человек одновременно включается в число других живых существ и мыслится совершенно независимо от них.",Да
"Согласно М.Шелеру, философия должна избежать такой ошибки, как смешение поиска сущности человека с обоснованием его особого положения в мире.",Нет
"По М.Шелеру, никакое сознание невозможно без первоначального сопротивления мира живому существу.",Да
"Согласно М.Шелеру, не интеллект и не способность выбора возвышает человека над животными.",Да
"Р. Ингарден поднимает вопрос о том, важна ли для эстетического переживания реальность созерцаемого предмета.",Да
"Р. Ингарден утверждает, что предметами эстетического восприятия не могут быть полностью выдуманные предметы.",Нет
"Согласно Р. Ингардену, когда эстетическое переживание относится к реальному объекту, его реальность будет далее необходима для процесса эстетического переживания, а если оно не относится к реальному объекту, то его реальность несущественна.",Нет
"По Р. Ингардену, эстетическое переживание, в отличие от познавательного, является единомоментным, мгновенным, не предполагает разнообразия стадий.",Нет
"Р. Ингарден полагает, что, в отличие от эстетического переживания, в познавательном опыте важно подтвердить принадлежность воспринимаемых нами качеств объекта самому этому объекту.",Да
"Согласно Р. Ингардену, есть различие в восприятии реального тела без рук и скульптуры без рук.",Да
"Р. Ингарден считает, что сложность и многоаспектность эстетического опыта приводит к возникновению единства и целостности воспринимаемых эстетических качеств.",Да
"Согласно Фейербаху, сущность религии в том, что она есть особая форма космологи как учения о начале мира, его основных законах и устройстве.",Нет
"Л.Фейербах приходит к выводу, что не только языческие боги являются отражением человека, но и единый бог монотеистических религий.",Да
"Л.Фейербах полагал, что сама по себе религия, хоть и является заблуждением, но играет конструктивную роль в истории человечества.",Нет
"Согласно Фейербаху, различие между религией и атеизмом в том, что религия и само понимание бога меняется с ходом истории, а атеистическая установка по своему содержанию остается неизменной.",Нет
"Л.Фейербах присоединяется к теории, что исходным для возникновения религии было некое интуитивное чувство существования и присутствия каких-то высших существ, уважение к ним.",Нет
"Л.Фейербах приходит к выводу, что освобождение от страха перед полезными для человека природными явлениями становится началом науки и атеизма.",Нет
"Фейербах считает важным отметить, что необычные, яркие события и явления в большей степени способствуют развитию религиозного миросозерцания, чем закономерные, часто повторяющиеся явления.",Нет
"Философия, полагает Франк, не способна понятийно выразить отношение к богу как живой личности.",Да
"По Франку, категориальный аппарат и логическая доказательность философии наилучшим образом подходит для постижения религиозных истин.",Нет
"Согласно С.Л.Франку, признак развитой философии как раз в признании неполноты и незаконченности знания.",Да
"С.Л. Франк признает, что религиозное понятие о боге противоречиво.",Да
"С.Л. Франк полагал, что религиозная вера не нуждается в рациональном обосновании своих положений.",Да
"Сартр полагает, что признавать за человеком некую единую «сущность», «природу» и т.п., значит относиться к человеку как к произведенной вещи.",Да
"Согласно Ж.-П. Сартру, самая важная, первая характеристика бытия человека в том, что он должен забыть себя и нести ответственность за весь человеческий род.",Нет
"С точки зрения Сартра, невозможно не только определить сущность человека как такового. Неправильно воспринимать мир так, как если бы в нем были некие общие условия человеческого существования.",Нет
"Согласно Сартру, бога нет, и это значит, что нет ограничений моральных; поэтому, рассуждает философ, за свои страсти и желания никто не несет ответственности.",Нет
"Платон отмечает, что любитель мудрости разборчив в своей любви и выбирает тот тип мудрости, который ему ближе.",Да
Мнением в отношении красоты Платон называл познание красоты самой по себе.,Нет
"Для Платона нет различия, во сне или наяву человек грезит, если он путает мнение и истину.",Да
"Знанием, по Платону, нужно называть истинное знание, а мнением – ошибочное.",Да
"Платон отмечает, что знание – это мощнейшая способность человека.",Да
"Мы далеко не всегда знаем истину, но ее важно знать, потому что она:",всегда имеет к нам отношение
Уже в античной философии было осуществлено разделение на:,истину и мнение
"Важная характеристика истины в том, что она:",остается неизменной
"Согласно Платону, «идеи» как предмет истинного знания:",вечны и неизменны
"Настаивая на том, что поэты должны быть изгнаны из идеального государства, Платон исходил из того, что инструмент познания это:",мышление
"С точки зрения Парменида, исключительной деятельностью человека, направленной на познание истины, является:",мышление
На латинском «истина»:,все сущее сотворено богом
Для понимания истины в Новое время характерен акцент,на самом познающем истину субъекте
"Поскольку в Новое время познающий истину субъект рассматривается как самостоятельный, то большое значение приобретает:",отслеживание и избегание ошибок
"Ф.Бэкон различал четыре рода “идолов”, один из которых:",идол пещеры
Термин «чистая доска» в эмпиризме Дж.Локка значит,человек не обладает никакими врожденными знаниями
"И.Кант полагал, что наше познание начинается с чувственного опыта","однако, до всякого познания в душе есть форма познания"
"Согласно И.Канту, опыт является единством",чувственности и рассудка
Основателем и одним из важнейших представителей феноменологии был,Э.Гуссерль
Один из исходных принципов феноменологической теория познания таков:,наши знания происходят из опыта
Принцип интенциональности сознания у Э.Гуссерля значит:,"все вышеперечисленное (постоянная направленность сознания на предмет; что сознание никогда не бывает пустым; что вещь не существует изначально, до интенционального акта, но впервые этим актом конституируется, создается)"
"Согласно феноменологии Э.Гуссерля, непосредственно нам даны:","не вещи, как они существуют сами по себе, а вещи как предметы нашего сознания"
«Классической» концепцией истины считается ее восприятие как:,Чарльз Сандерс Пирс
"То, что истины – это правила, способствующие успешной деятельности, полагает такая философская теория, как",прагматизм
"Философом, по Платону, следует считать того, кто",ценит все существующее само по себе
Платон характеризовал мнение как,нечто среднее между знанием и незнанием
"Согласно Платону, знание:","имеет своим предметом бытие с целью постичь, каково оно"
"Роль сомнения, по Декарту, в том, что оно позволяет","все вышеперечисленное (избегать поспешных выводов; рассматривать только то, что представляется ясным и отчетливым; препятствует считать истинным то, что неочевидно)"
"Согласно Декарту, философский призыв преобразовать свои знания не подходит:","оба данных типа людей (людям, которые убеждены, что знают больше других и готовы судить обо всем; людям, которые считают себя менее способными, чем другие; ни один из указанных типов людей)"
"Какого из приведенных ниже принципов нет в списке правил, предлагаемых Декартом в качестве основных правил метода:","упражнять рассудок, не утомляя сильно воображение"
"Раскрывая значение истины как aletheia, Хайдеггер обращает внимание на такое исходное значение этого древнегреческого слова, как",раскрытие
У Хайдеггера понимание истины как aletheia непосредственно связано с,"ролью человека, идущего навстречу истине"
"Согласно Хайдеггеру, в новоевропейской метафизике возобладало не стремление к постижению истины самой по себе, а проблема:",правильности использования разума человека
"В доказательство, что пространство не есть эмпирическое понятие, Кант приводит такой аргумент:","можно представить пустое пространство, но невозможно представить отсутствие самого пространства"
"Согласно И.Канту, форма и условия восприятия объектов в пространстве:",находятся в душе человека изначально
"В своем учении о пространстве И.Кант, как он полагал, обосновал такую науку, как:",геометрия
"Важнейшая цель метода, предлагаемого Декартом, в том, что он:",позволяет пользоваться собственным разумом наилучшим образом
"Важнейшим выводом исследования Кантом чувственного восприятия с его формальной стороны, является то, что формами чувственного созерцания являются:",пространство и время
"Согласно И.Канту, априорное значение философии в том, что ее конечная цель – построить систему знания, независящую от человеческого разума и знания.",Нет
"И.Кант полагает, что исследование человека как порождения природы и как существа, которое способно преобразовывать себя само, должно быть предметом одной и той же науки.",Нет
"И.Кант обращает внимание на то, что непосредственное изучение человека сталкивается с той трудностью, что его поведение станет неестественным, если он будет знать, что является объектом изучения.",Да
"Согласно Канту, наибольшие преимущества для существования человека дает республика, потому что естественная свобода человека в ней ограничивается законом как принуждением, исходящим от самого человека.",tДа
"Аристотель считает, что этику лучше всего начинать изучать в детском возрасте.",Нет
"Аристотель полагает, что стремление к богатству не освобождает, а, наоборот, порабощает.",Да
"Аристотель приходит к выводу, что высшее благо можно назвать счастьем.",Да
"Аристотель разделяет блага на три вида: 1. естественные и необходимые, 2. естественные и не необходимые, 3. противоестественные.",Нет
"Согласно Аристотелю, добродетелью в собственном смысле слова можно называть только добродетели, относящиеся к душе.",Да
Аристотель включает в число добродетелей когнитивные навыки.,Да
"Августин призывает к Богу, чтобы он поведал о сотворении неба и земли, поскольку не может обратиться к Моисею.",Да
"Важным свойством, по Августину, сотворенного, является увядание и смерть.",Нет
"Августин считает, что вечность проявляет себя в том, что в вечности всё пребывает как настоящее, во всей своей полноте. Так он отвечает всем тем, кто спрашивает, почему в Боге родилась воля к сотворению, которой там раньше не было.",Да
"Августин утверждает, что до создания земли и неба Бог сотворил только время.",Нет
"Знаменитая цитата Августина «Что же такое время? Если никто меня об этом не спрашивает, я знаю, что такое время; если бы я захотел объяснить спрашивающему — нет, не знаю» иллюстрирует идею о том, что вечность времени познается только Богом.",Нет
"Августин иллюстрирует примером о восходящем солнце идею о том, что будущее живет в настоящем времени в представлениях, образах.",Да
Одним из вопросов философии религии является определение ее статуса.,Да
Философия религии всегда опирается на вероучение той или иной религии и тесно связана с теологией,Нет
Специфической особенностью теологии является подчеркивание приоритета разума над верой.,Нет
"Религия может быть определена как мировоззрение, связанное с верой в божественное, которое достойно поклонения.",Да
Философия окончательно осознает себя автономной от теологии к концу Просвещения.,Нет
"Фейербах считал, что истоки религии лежат в чувстве зависимости человека. Следовательно, их надо искать в антропологических и психологических основаниях.",Да
"Карл Маркс интерпретировал религию как «отчужденное сознание», возникающее на основе экономического отчуждения.",Да
"В начале данной части Декарт приводит в пример различные планировки городов, подтверждая мысль, что построенное и созданное по единому плану совершеннее возникшего случайно.",Да
"Согласно Декарту, разумное мнение здравомыслящего человека не может быть лучше научного.",Нет
"Декарт полагает, что требуются неотложные изменения в образе жизни и мышлении европейского человека, и что требуется раз и навсегда отказаться от всего отжившего.",Нет
Декарт подчеркивает пользу изучения разнообразия мнений и обычаев для становления человека.,Да
"Согласно Декарту, если мы не можем наблюдать причинно-следственную связь естественным образом, то мы не имеем оснований предполагать ее наличие в теории.",Нет
"Согласно Канту, все религии можно разделить на естественные и искусственные.",Нет
"Для Канта важным было разделение на религию, в истинности которой можно убедиться посредством одного разума, и религию, которую можно понять посредством учености",Да
"По Канту, даже религию откровения можно в каком-то смысле рассматривать как естественную.",Да
"Согласно Канту, для религии требуется понятность для каждого и единодушие.",Да
"Кант приходит к выводу, что подлинная святость дается только свыше и не может требовать подтверждения собственными делами.",Нет
"Согласно И.Канту, смысл отдавать священное знание в руки ученых в том, что именно они уже выбрали образ жизни в вере.",Нет
"Согласно И.Канту, учение христианства построено не только на общих принципах, но и на фактах.",Да
"С. Хантингтон считает, что в грядущей глобальное войне будут противоборствовать две силы: мусульмане и не-мусульмане.",Да
"С. Хантингтон считает, что изменение расстановки сил между цивилизациями – то есть, растущая мощь Индии, – повлечет за собой межцивилизационную войну.",Нет
"С. Хантингтон полагает, что в случае войны Запад все интенсивнее будет стремиться заручиться добрыми отношениями с Россией, и оказать ей поддержку в распространении контроля над богатыми нефтью странами к югу.",Да
Ключевым и тревожащим моментом грядущей цивилизационной войны С. Хантингтон считает перераспределение ресурсов в странах с разной экономической системой.,Нет
"Хантингтон делает важный вывод о том, что для недопущения цивилизационных войн необходимо невмешательство стран одной цивилизации во внутренние дела стран другой цивилизации.",Да
"Объективное исследование окружающего мира, исключающее центральное положение человека, необходимо и возможно.",Нет
"По П. Тейяр де Шардену, человек уникален, поэтому его невозможно изучать при помощи естественных наук.",Нет
"По П. Тейяр де Шардену, эволюция человека продолжается.",Да
"Методологическая установка П. Тейяр де Шардена, а также одно из высших предназначений человека, сформулированы им в афоризме «победить или погибнуть».",Нет
"По П. Тейяр де Шардену, особое положение человека в космосе отличается тем, что каждый способен мыслить себя как высшее существо, отдельное от остального человечества.",Нет
"Согласно Дж.Э.Муру, этика занимается суждениями о том, что такое истина, мир, как мы можем его познать, а отсюда следует вопрос о том, в каких правильных суждениях мы можем выразить истину.",Нет
"Парадоксальный, на первый взгляд, тезис Дж.Э.Мура - в том, что понятие «блага» неопределимо.",Да
"Сравнивая слова «добро» и «желтый», Дж.Э.Мур ставит целью показать, что нравственность зависит от восприятия отдельного человека",Нет
"Согласно Дж.Э.Муру, подлинный предмет и цель этики – не знание, а практика.",Нет
"По Т. Гоббсу третий естественный закон заключается в том, чтобы люди выполняли соглашения и обязательства.",Да
"Т.Гоббс утверждает, что невозможно соблюдение договора до того, как люди перестанут находиться в состоянии войны друг с другом.",Да
"По Т.Гоббсу, для осуществления выполнения обязательств и договоренностей между людьми должна появиться власть, могущая эти обязательства привести к единой форме, зафиксировать.",Нет
"Точка зрения Т.Гоббса состоит в том, что и выполнение, и невыполнение обязательств могут не противоречить разуму.",Нет
"Т. Гоббс проводит важную разницу между справедливостью людей и поступков, утверждая, что справедливость поступков видится в отношении этих поступков к разуму, а справедливость людей – в отношении разума и характера человека.",Да
"Одиннадцатый естественный закон, по Т.Гоббсу, – закон беспристрастия. Он гласит, что необходимо каждому воздавать то, что принадлежит ему по разуму.",Да
"Термин «история» означает «расспрашивание, добывание знаний».",Да
"Новаторство Геродота состояло в двух вещах: в том, что он сделал предметом своего исследования деятельность людей, а также, в том, что для исследования он расспрашивал очевидцев и критически сопоставлял полученные сведения.",Да
"История древнего Рима, древней Греции – эсхатологична, линейна.",Нет
"Эсхатология христианства, то есть, такое понимание истории, которое связано с ожидание Страшного суда, была определена и разработана отцами церкви в I-III веках.",Нет
"Европейские мыслители уже в эпоху Ренессанса приходят к осознанию того, что свобода реализуется преобразование действительности.",Да
Основу исторического процесса составляет всё множество исторических фактов.,Нет
Современное понимание прогресса предложил Н. Кондорсе еще в XVIII веке: прогресс – это поступательное движение человечества от простых форм социальной организации к более сложным.,Да
"Согласно Ж.-Ж.Руссо, собственность является явлением, спонтанно возникающим в определенный момент развития общества.",Нет
"По мнению Ж.-Ж.Руссо, вероятно, что языки возникли на островах, а потом были распространены среди жителей материка.",Да
"Первым шагом к общественному неравенству, по мнению Ж.-Ж.Руссо, явилось общественное уважением, которое сопровождало тех людей, которые лучше других что-либо делали.",Да
"По Ж.-Ж.Руссо наилучшим временем для человека и человеческого общества был период естественный, когда доброта и изначальная кротость сопровождали любое начинание человека, когда морали в ее современном понимании еще не было.",Нет
"Ж.-Ж.Руссо утверждает, что неизбежным следствием обработки земли в земледелии является ее обеднение и уничтожение.",Нет
