"«Благо», «справедливость», «добродетель» являются категориями такой философской науки, как:",этика
"По Фрейду, роль очеловечивания природы в ранних религиях в том, что она представляет собой",возможность понять ее и каким-то образом реагировать на нее верно
"По Х. Ортега-и-Гассету, нужно помнить, что:","может случиться, что настоящая истина не найдет выражения в той или иной эпохе, или её смогут понять только несколько человек"
"По Шелеру, философское познание в естественных науках определяет",границы применения данных наук
По Шеллеру философское познание в естественных науках определяет,Важнейшие предспосылки и основы данных наук
"По Э. Тоффлеру, основное требование, которое предъявляется в последние века по отношению к новым технологиям – это...",возможность работать на экономический рост и военную мощь
Под «восстанием масс» Х. Ортега-и-Гассет имел в виду:,кризис культуры в результате распространения мировоззрения серой посредственности
Под антропоцентризмом в философской литературе понимается,"порядок мира, при котором человек дает миру правило и закон"
"Подлинная активность человека, в преставлении Э.Фромма, это:",испытывать непосредственный интерес к миру
Позитивная философия Огюста Конта и его последователей рассматривает человека как,"часть социального организма, живущего и развивающегося по собственным законам"
"Поле производства в современном капитализме расширяется в связи с тем, что",технический прогресс также включает в себя увеличение производства
Политическая сфера может быть оформлена только когда,возникла необходимость разрешения социально-стратовых противоречий
"Понятие ""порыва"" у М.Шелера значит",хаотические силы природы
Порядок человеческого бытия носит общественный характер и представляет собой систему...,Во взаимодействии человека с другими людьми формируются:
"Поскольку в Новое время познающий истину субъект рассматривается как самостоятельный, то большое значение приобретает:",отслеживание и избегание ошибок верно
Постиндустриальное общество предполагает деградацию эстетического вкуса и распространение массовой культуры в связи с,отсутствием интереса к подлинному искусству
Посткапиталистическое производство стремится к:,тотализации пространства человеческого бытия
"Поступки, сообразные добродетелям, согласно Аристотелю:",приносят удовольствие сами по себе верно
Почему вопрос об истине остаётся открытым ,продолжается поиск наиболее удачного определения
"Почему нельзя утверждать, что мы достигли полного понимания того, что такое человек?",среди ученых и философов отсутствует консенсус в понимании человеческой природы
Почему эстетическое суждение обычно носит оценочный характер?,оценка как реакция является естественной для человека
Появление философской антропологии как отдельной отрасли философского знания в начале XX в. связано с именем:,М.Шелера 
"Представителем эстетики XX в., утверждавшим, что для эстетического опыта характерны интенсивность, внутренняя согласованность и стремление к завершенности, был",М.Бердсли
Примером симулякра может быть,рекламный образ верно
Принцип интенциональности сознания у Э.Гуссерля значит:,все вышеперечисленное верно
Проблема сочетания свободы и всеобщего закона причинности характерно для,Нового времени верно
Проводник хилиазма Иоахим Флорский предвещал наступление Царства Святого духа:,в 1260 году
"Прогулка египетского фараона может считаться историческим фактом только в том случае, если:","фараон во время прогулки принял новое решение, могущее повлечь серьезные исторические последствия"
"Продолжите мысль Ж.-П.Сартра: «Для экзистенциалиста человек потому не поддается определению, что первоначально ничего собой не представляет. Человеком он становится лишь впоследствии…»","…причем таким, каким сделает себя сам верно"
"Продолжите фразу ""Человек творит культуру""",и сам является ее творением 
"Произведения, соответствующие римскому политическому могуществу и описывающие его создал следующий историк:",все вышеперечисленные
"Противостояние философии и богословия можно, по Бердяеву, описать как",противостояние индивидуального и коллективного мышления
"Р. Ингарден считал, что",оба ответа верные
"Р. Коллингвуд исходит из того, что прошлое как специфический объект может быть познан при помощи:",ничего из перечисленного
"Р. Коллингвуд написал фундаментальное исследование, посвященное историческому процессу и философии истории, которое называется:","""Идея истории"""
"Р.Ингарден утверждает, что эстетический опыт начинается со своеобразного игнорирования вопроса о реальности предметов. Это делается философом для того, чтобы:",отличить эстетическое отношение к предмету от познавательного верно
"Работа 18 века, в которой человеческие взаимоотношения рассматриваются в качестве единства сил отталкивания(эгоизма) и притяжения (общности интересов), называется "" О человеке"". Кто ее автор?",К.Гельвеций
Работа известного американского философа Бердсли,Эстетика: проблемы философии критики
"Работа известного американского философа М. Берсли, посвященная эстетическому опыту и его характеристикам, называется:",«Эстетический опыт»
"Работу по философии религии которая отличается критическим и антропологическим взглядами на религию, написал Л. Фейербах. Она называется","""Лекции о сущности религии"""
"Работу, посвященную средствам массовых коммуникации и их влиянию на жизнь человека, написал Н. Луман. Она называется:",Реальность масс-медиа
"Развивая свою культурологическую концепцию, Й.Хейзинга называл человека",homo ludens
"Раскрывая значение истины как aletheia, Хайдеггер обращает внимание на такое исходное значение этого древнегреческого слова, как",раскрытие
Религиозная философия...,"тесно связана с теологией, и использует философский понятийный аппарат для религиозного осмысления мира, а философскую религию- для интерпретации религиозного опыта"
"Решающим фактором, который определяет уникальность социокультурного организма, является:",преображающая сила народного духа
"Робинзон Крузо пользуется орудиями труда, технологиями, трудовыми навыками, приобретенными им в обществе, что говорит о:","том, что деятельность человека никогда не бывает индивидуальной"
Родоначальником концепции массовой культуры считается,Х.Ортега-и-Гассет
Родоначальником рационализма Нового времени принято считать,Р. Декарта
Роль государства – обеспечение...,безопасности и устойчивости общества
"Роль сомнения, по Декарту, в том, что оно позволяет",все вышеперечисленное
Русская революция,продолжается уже больше ста лет
Руссо является автором исследования:,"Об Общественном договоре, или Принципы политического Права"
"Ряд философов утверждает, что мир не может быть познан. По мнению Ф.Энгельса, эта позиция лучше всего опровергается:",практикой
"С позиции З.Фрейда, предлагаемое религией учение о бессмертии",помогает справиться с осознанием пространственных и временных пределов исполнения желаний человека
"С позиции Н. Лумана, в современной культуре отображение реальности происходит, в первую очередь, посредством.",новостей
"С позиции Р. Коллингвуда, основной вопрос философии истории:",Как наука история познает прошлое?
"С позиции Хайдегера, связь понимание истины с рациональностью приводит господству",метафизики
"С развитием естественнонаучных знаний функция религии (роль представления о богах) все больше смещается, по З.Фрейду, в область:",нравственности
"С точки зрения А. Тойнби, самое важное в истории XX в. это",воздействие западной цивилизации на другие
"С точки зрения Д.Юма, причинно-следственную связь смешивают со случайносттью, и то, что мы видим, как одно явление прешествует другому, не доказывает, что первое-причина следующего. это подразумевает, что: ",1. это противоречит евангельской проповеди
"С точки зрения И. Канта, суть эстетического отношения к предмету в",нашей в нем незаинтересованности
"С точки зрения Канта, ложь всегда вредна, потому что",дискредитирует саму ценность правдивости верно
С точки зрения М. Шелера европейское понятие о человеке складывается из трех независимых друг от друга соста,"человек как существо, порожденное обществом и культурой"
"С точки зрения М.Маклюена, жизнь человечества изменяет",любой новый метод и средство коммуникации
"С точки зрения Н. Лумана, системой, производящей реальность в условиях современности является:",масс-медиа
"С точки зрения Н.Лумана, склонность к самонаблюдению у современного человека развивает, скорее:",сфера развлечений
"С точки зрения Парменида, исключительной деятельностью человека, направленной на познание истины, является:",мышление
"С точки зрения Р. Коллингвуда, понять прошлое – не то же самое, что понять историю как науку. Поэтому чтобы понять, что такое история как наука",нужно иметь исторические знания и опыт рефлексии
"С точки зрения Э.Гуссерля, законы логики и математики относятся к",феноменологическая редукция
"С. Хантингтон утверждает, что в Совете безопасности ООН обязательно олжны быть постоянные представители","Африки, Латинской Америки и мусульманского мира"
"С.Л.Франк считает, что философское понятие о боге может заключать в себе идеи:",все вышеперечисленное
"С.Л.Франк указывает, что определенная опасность философии для религии может быть в том, что",философское исследование устраняет таинственность природы божества
Самая известная формулировка категорического императива Канта содержит в себе:,все вышеперечисленное
Самая наглядная типология обществ предполагает разделение на ,письменные и бесписьменные
Сегодня под религией понимается,"Мировоззрение или мировосприятие, а также поведение, опред. Верой в существование Бога"
Слово «приматы» значит:,высшие
Собственность-это исторически сложившиеся отношения между людьми по поводу,присвоения и отчуждения жизненных благ
Современная эмпирическая антропология зародилась в том числе в трудах,М. Мосса
"Согласно А. Тойнби, понимание истории народа или страны зависит от цивилизации, к которой они относятся, то есть:",от наименьшего необходимого исторического контекста
"Согласно Августину, будущее и прошлое для людей существуют, благодаря тому, что","Бог создал и прошлое, и настоящее, и будущее"
"Согласно античной традиции, впервые слово «философия» употребил:",Пифагор верно
"Согласно Аристотелю, возможно три образа человеческой жизни и три представления о счастье: направленный на удовольствия, государственный и созерцательный. Какой из них подвергается Аристотелем наибольшей критике?",направленный на удовольствия верно
"Согласно Аристотелю, место бога в философии определяется тем, что он:",является источником всякого движения и конечной целью
"Согласно Аристотелю, человек располагает таким «видом души», такой способностью, как:",разум
"Согласно Г.-Г. Гадамеру, связи философского мышления с языком в том, что:","оно требует усилий по осознанию себя и мира, которому потом требуется найти выражение в языке верно"
"Согласно Г.Риккерту, явления культуры следует рассматривать:","не только в связи с заложенной в них ценностью, но и в их отношении к оценивающему существу"
"Согласно Гегелю, религия – это:","самосознание абсолютного духа, опосредованное конечным человеческим духом верно"
"Согласно Декарту, философский призыв преобразовать свои знания не подходит:",оба данных типа людей
"Согласно Дж. Э. Муру, утверждать,что термин ""добро"" означает некий уникальный простой предмет мышления, значит:","правильно представлять себе ""добро"""
"Согласно Ж.Бодрийяру, в современной культуре предмет потребления должен восприниматься как лишенный:",всех вышеперечисленных характеристик
"Согласно Ж.Бодрийяру, особенность «знака» в том, что он","подразумевает существование отдельных субъектов, которые обмениваются знаками"
"Согласно Ж.-Ж.Руссо, люди могли получить понятие о взаимных обязательствах только тогда, когда:",человек научился объединяться с одними и остерегаться других людей
"Согласно Ж.-Ф.Лиотару, метанарратив Нового времени это","обоснование того, что разум может познать мир исчерпывающим образом"
"Согласно З.Фрейду, религия относится к ",Психологическому аспекту культуры
"Согласно знаменитому принципу экзистенциализма, сформулированному Сартром, существование человека предшествует сущности. Это значит, что:","следует признать, что человек существует, а любое определение, что такое человек, вторично"
"Согласно И. Канту, религия – это:",познание наших моральных обязанностей в виде божественных заповедей верно
"Согласно Й. Хейзинге, игра",не требует рациональности для своего понимания
"Согласно Й. Хейзинге, специфика исследования игры в человеческой культуре в том, что","оно пытается понять игру так, как воспринимает ее сам играющий"
"Согласно И.Канту, во всех показаниях быть правдивым, честным – это:",заповедь разума верно
"Согласно И.Канту, говоря, что предмет красив, мы, на самом деле:",говорим о субъекте и его чувстве удовольствия 
"Согласно И.Канту, опыт является единством",чувственности и рассудка верно
"Согласно И.Канту, правдивость:",является безусловным долгом каждого вне зависимости от обстоятельств верно
"Согласно И.Канту, существует три вида заинтересованного отношения человека к вещи. Какое из них он называет наиболее свободным?","прекрасное; то, что просто нравится"
"Согласно И.Канту, форма и условия восприятия объектов в пространстве:",находятся в душе человека изначально верно
"Согласно И.Канту, человек есть:",конечная цель для самого себя
"Согласно К. Марксу, религия является:","формой сознания, отражающей отчуждение в обществе эксплуатации"
"Согласно Канту, категорический императив исходит из",уважения к моральному закону
"Согласно Л.Фейербаху, история религии есть ни что иное, как",история человека
"Согласно Н.А. Бердяеву, противостояние философии и религии неслучайно потому, что",религия тоже включает в себя познание
"Согласно Н.Луману, вместо религиозной морали в современном обществе перед человеком самым разнообразным способом ставит ориентиры и транслирует идеалы:",реклама
"Согласно общей установке античности, познание природы, космоса, его порядка является:",высшей целью человека
"Согласно Платону, «идеи» как предмет истинного знания:",вечны и неизменны
"Согласно Платону, знание:","имеет своим предметом бытие с целью постичь, каково оно верно"
"Согласно Р. Ингардену, для эстетического восприятия",допустимо придумывать отсутствующие у объекта качества 
Согласно С.Л.Франку основным источником философского знания следует считать,целостный духовный опыт верно
"Согласно Сартру, человек, это существо, обращенное в будущее. Это значит, что:","в своем существовании человек проецирует себя в будущее, человек – это проект верно"
"Согласно Т.Гоббсу, определение справедливости, данное схоластами, гласит, что она является:",волей дать каждому его собственность
"Согласно Тейяр де Шардену, появление мышления следует рассматривать как:",важнейшее изменение состояние вселенной
"Согласно Тейяр де Шардену, сводить всякую науку к вопросу о человеке целесообразно, потому что:",человек является центром конструирования универсума верно
"Согласно терминологии Г.Риккерта, вещи сами по себе уже являются для нас:",благами
"Согласно У. Эко, в 20-30-ее годы отношение массмедиа к идеалам Красоты характеризуется:","заимствованием идеалов, поставляемых элитарным искусством"
"Согласно Ф. Энегльсу, вопрос о соотношении мышления и бытия это, помимо прочего, вопрос о соотношении:",духа и природы
"Согласно Ф.Энгельсу, наука первоначально смотрела на мир ограниченно, и подлинная философия помогает науке осознать и преодолеть проблему:","отсутствия понимания того, что и материя, и человеческое общество находятся в развитии верно"
"Согласно Ф.Энгельсу, потребность в деньгах возникает тогда, когда:","появляется товар, посредством которого оценивались все другие"
"Согласно Фейербаху, причиной возникновения религии стали:",все вышеперечисленное
"Согласно феноменологии Э.Гуссерля, непосредственно нам даны:","не вещи, как они существуют сами по себе, а вещи как предметы нашего сознания верно"
"Согласно философу Соловьеву, общим для искусства и мистики не является",размышление
"Согласно формулировке М.Шелера, человеческое существо можно назвать ""аскетом"", потому что:","человек становиться человеком благодаря некоторому принципу, противоположному жизни как таковой"
"Согласно Х. Ортега-и-Гассету, массовый человек связывает себя с государством, потому что",все перечисленные варианты верны
"Согласно Х. Ортега-и-Гассету, цель существования человека",поиск высшего начала
"Согласно Х.Ортега-и-Гассету, массы реализуют свою волю через",массовую культуру
"Согласно Хайдеггеру, в новоевропейской метафизике возобладало не стремление к постижению истины самой по себе, а проблема:",правильности использования разума человека
"Согласно Шелеру, изучение наиболее общих, междисциплинарных проблем естественных наук (понимание жизни, материи и т.п.) относится к:","к тому, что сам Шелер называл «метафизическим знанием» или «знанием ради спасения» верно"
"Согласно Э.Фромму, озабоченность болезнями, смертью и т.п. является:","проявлением «некрофилии», которая может быть и у молодого человека"
"Согласно Э.Фромму, самый важный шанс и преимущество старости в том, что:",человек может посвятить себя философским размышлениям
"Соловьев указывает на то важное обстоятельство, что философия опирается на",чистый разум
"Сосредоточенность на межличностном и межгрупповом взаимодействии, попытка осознать описываемые события и процессы глазами их участников",историческая антропология
"Социальное расслоение возникает после того как появились излишки продукта, присваиваемые некоторыми общинниками. Это зависело от...",совершенствования технологий производства
"Социальные катастрофы, войны, проблемы первой половины ХХ века лишили Европу и человечество иллюзии о том, что:","человеческий разум нравственен сам по себе и прогресс заключается в том, чтобы общество могло предоставить наибольшие возможности для реализации свободы"
Социальный институт – это,все вышеперечисленное
"Социальный номинализм предполагает, что общество является:","совокупностью людей, которые осуществляют действия под влиянием собственных интересов"
Социогенез - это:,всё вышеперечисленное
Специфической особенностью современного периода взаимоотношений человека и природы является:,разработка проектов решения кризисных ситуаций в природоиспользования
"Сравнивая слова «добро» и «желтый», Дж.Э.Мур ставит целью показать, что:",они оба являются простыми качествами
Субъективная и объективная реальность это,сознание и независящая от сознания реальность
Существование различных определений философии является следствием:,многообразия человеческого опыта верно
Существует следующая стратификационная система:,все вышеперечисленное
"Сущность веры в единого бога в отличие от политеизма – веры во многих богов в том, по Фейербаху, что",в монотеизме человечество начинает осознавать себя как единый род существ
"Т.Гоббс утверждает, что справедливость - это:",соблюдение интересов всех сторон в договоре
"Такие разделы философии, как философия истории, философия науки и техники, философская антропология, социальная философия обособились в отдельные дисциплины:",в конце XIX века – XX веке верно
"Тезис Р.Декарта ""я мыслю следовательно существую"" указывает на то, что",истинность моего мышления несомненна
Термин «чистая доска» в эмпиризме Дж.Локка значит,человек не обладает никакими врожденными знаниями
Термин «экология» введен,Э.Г. Геккелем в книге «Общая морфология организмов»
Технологическая революция,"качественное изменение в развитии техники, захватывающий всю культуру"
"То, что именно поэты, а не философы, являются подлинными хранителями «голоса бытия» и истины, считал:",М.Хайдеггер
"То, что истины – это правила, способствующие успешной деятельности, полагает такая философская теория, как",прагматизм
"То, что мир не познаваем, и поэтому нельзя знать, существует бог или нет, это",агностицизм
"То, что многие философские направления в ХХ в. тесно переплетаются искусством, имеет причиной:",все вышеперечисленное верно
"То, что ученый-естественник может начать заниматься философскими вопросами, объясняется, согласно Х. Ортега-и-Гассету:",самой природой естественных наук
"Тоффлер является автором концепции технологического развития общества, которая выражена им в работе:","""Третья волна"""
"Точка зрения, согласно которой красота – не свойство предмета, а определенное отношение к нему, связано с такой категорией, как",вкус
Традиционный тип общества характеризуется,религиозной направленностью
"Три основные формы понимания истории - космическая, эсхатологическая, фактическая. Но только фактическая может считаться историей в полном смысле слова, так как обладает всеми признаками этого миросозерцания, а именно","гуманистичностью, универсальностью, линейностью, закономерностью, самодостаточностью"
"Труд Мартина Хайдеггера, названный по одному из диалогов Платона, это",Парменид
У Хайдеггера понимание истины как aletheia непосредственно связано с,"ролью человека, идущего навстречу истине верно"
"У Э. Тоффлера принципиальное отличие так называемой «Третьей волны» от предыдущих состоит в том, что:","эта волна начинается не с технологий, а с социально-экономических задач, которые стоят перед обществом"
"У. Бек говорил, что вместо подлинного многообразия, открытости и плюрализма распространяется единый набор символов изъятых из",из образов массового искусства
"У. Бек полагает, что разрушение окружающей среды непосредственно связано с:",бедностью
"У. Бек полагает, что само современное общество выработало практику, которая способна стать одним из средств предупреждения будущих глобальных проблем. Это:",публичность принятия решений
У. Бек призывает осознать единство человечества,перед лицом глобального экологического кризиса
"У. Бек. полагает, что современное общество, в противоположность классовому, является обществом",риска
"У.Эко находил возможность назвать «открытым произведением» и современное искусство, и современную рекламу, потому что",в современном искусстве и рекламе предполагается активная роль зрителями 
Уже в античной философии было осуществлено разделение на:,истину и мнение
"Уже в античности, помимо обоснования знания, важной задачей философии стало:",определение правильного образа жизни верно
"Узкая специализация работников и машинное производство характерны для такого периода развития техники, как",индустриальный
"Укажите характеристику, не относящуюся к эстетическому опыту","всеобщий характер идей, представлений, которые этим опытом производятся"
"Укажите характеристику, не относящуюся к эстетическому опыту",данный опыт важен и ценен сам по себе
"Указанный Максом Шелером парадокс теоретического познания сущности вещей состоит в том, что:","можно использовать в качестве примеров не реальные, а воображаемые вещи"
"Утверждение, что для эстетического опыта важна форма воспринимаемых нами чувственных данных, значит:","эстетический опыт образуется тогда, когда внимание обращается к тому, как представлены нам те или иные чувственные данные "
"Утверждение, что религия отличается от нравственной философии только формально, принадлежит:",И. Канту
"Учение о том, как в мире разворачивается и воплощается божественный план, и человечество неизбежно движется к Царству Божьему, называется:",провиденциализм
"Учение, согласно которому различные социумы можно распределить в соответствии с уровнем их развития, относится к",эволюционизму
Ф. Фукуяма в 1993 году достаточно преждевременно объявил о ,конце истории
"Ф. Энгельс показывает, что в период Нового времени самым важным фактором развиия философии, в том числе спора материализма и идеализма, стали:",естественные науки
"Ф. Энгельс сомневался в возможности построения целостной и окончательной научной модели мира, потому что",наши знания обусловлены обстоятельствами их получения
"Ф.Бэкон различал четыре рода “идолов”, один из которых:",идол пещеры
Ф.Энгельс приводит пример «родового» строя. Это:,индейцы Америки
Фейербах формулирует важнейшую цель своего изучения религии как:,содействие свободе человека
Философ роман ингарден был представителем,феноменолагической эстетики
"Философами и культурологами, исследовавшими медиареальность, были",ни один из них
Философия медиа исследует,изменения культуры которые были вызваны появлением новых средств коммуникаций
Философия является наукой потому что:,знание рассматривается философией как ориентир и высший идеал
"Философом, по Платону, следует считать того, кто",ценит все существующее само по себе
"Философская антропология может претендовать на статус важнейшей философской дисциплины, когда","накапливается багаж знаний о человеке, его месте в мире и природе"
Философский понятийный аппарат для религиозного осмысления мира использует:,религиозная философия
"Философский смысл деизма Нового времени в том, что",законы природы постоянны и неизменны
"Философы Нового времени (Р.Декарт, Ф.Бэкон и др.) установили, что в идеал научного знания входит:",все вышеперечисленное
"Фихте является автором первой философии истории в полном смысле этого слова, которую он озагалавил:","""основные черты современной эпохи"""
"Франк написал исследование по социальной философии, которое называется",духовные основы общества
"Франк считает, что смысл истории может быть реализован только в том случае, если:","каждая эпоха имеет свое значение, а также является творцом и проводником этого смысла"
"Франк утверждает, что:",человечество способно осознать себя на любой стадии истории верно
"Х. Ортега-и-Гассет полагал, что философские вопросы выступают:",ориентиром развития европейской науки и культуры
Христианское линейное понимание времени и истории сохраняло свое влияние очень долго. До какого времени?,до эпохи Просвещения
"Целостность человеческого труда в доиндустриальную эпоху в том, что субъект труда","сам выполняет все действия, необходимые для получения завершенного изделия"
Центральным в этике И.Канта стало понятие,долг
"Цицерон в одном из своих сочинений прямо ссылается на Аристотеля и на его этику, используя понятие «моральная философия». Это сочинение:",«О судьбе»
Частная индивидуальная собственность получила распространение начиная с...,XVIII века
"Человек был элементом природы/хаоса в античной истории, сама же она была историей свершающегося постоянно Космоса. В силу этого античная история:",циклична и космична
Человеку необходимо обрести свое место. Христианство требует для этого человека,смирения
"Человеку, стремящемуся иметь обоснованное представление о природе и сущности мира, следует, по Шелеру, опираться на:",позитивные данные естественных наук
"Что из нижеперечисленного, по мнению М.Шелера, радикально отличает человека от всего остального живого мира:","разум, дух"
Что понимается под нарративом чаще всего?,конкретная интерпретация определённого события
"Чтобы исключить установку на то, что нам даны вещи, независимые от нашего сознания, Э.Гуссерль предлагает процедуру:", фенеменологической редукции
"Э. Тоффлер утверждает, что современные ему новые технологии должны подвергнуться следующим тестам",все вышеперечисленное
"Э. Фромм критически относится к установке, распространенной в 20 в. на Западе, что свобода отдельного человека, по сути, это:",потребление
Эволюционизм как теория может сочетаться с,всем вышеперечисленным верно
Элементом эстетического сознания является:,все вышеперечисленное верно
"Элементы ритуальности, мистериальности У. Эко видит в",во всем вышеперечисленном
"Энгельс пишет, что первым возникшим классом, который появился с возникновением цивилизации, и не был напрямую связан с производством, был:",класс купцов
Эпистемология – это философская наука о:,знании
Эссе Эриха Фромма называется:,"""психологические проблемы старения"""
Эстетика как философская наука исследует ,все вышеперечисленное
"Эстетическая реакция, реакция на эстетический опыт может принимать:",вербальные и невербальные формы 
"Эстетические реакции, выраженные в форме восклицаний «Ах!» и «Это прекрасно!» с точки зрения содержания отличаются тем, что:","одна из них содержит слова, термины, давно ставшие эстетическими категориями («прекрасное»), а другая – нет"
"Эстетический опыт ближе всего к такому типу опыта, как",опыт любви
Эсхатологическое понимание истории было предложено,Августином Аврелием в 5 веке 
Этика Аристотеля как наука о высшем благе в общефилософском смысле изучает,средства для достижения счастья
"Этическая категория, с которой непосредственно связано понятие свободы",ответсвенность
"Этическое содержание, по Й.Хейзинге, придает игре:",напряжение
"Этическое сочинение ""Метафизика нравов"" принадлежит перу немецкого философа...",И.Канта
В экзистенциализме Ж.-П. Сартра понятия человек и свобода связаны следующим образом:,бытие человека и есть свобода
"Закончите знаменитую фразу Аристотеля, открывающую его этическое сочинение: « Всякий человек от природы стремится к…",благу
гелен написал: человек. Его природа и положение в мире. Че ещё он написал?,Первобытный человек и поздняя культура
"Манифестом экзистенциализма считается работа Экзистенциализм- это гуманизм, написанная",Сартром
Гуссерль считал что философия пока не наука но может ей стать. Какую книгу написал Гуссерль,Философия как строгая наука
"Фихте является автором первой философии истории в полном смысле этого слова, которую он озаглавил:",Основные черты современной эпохи
"Идеалы, как часть мировоззрения выполняют функцию",ориентирующую
"С позиции Хайдеггера, связь понимание истины с рациональностью приводит господству",метафизики
"Первая в истории социальная группа, которая позиционировал свою самостоятельность и самодеятельность",буржуазия
Почему вопрос о бы истене остается открытым,Продолжается поиск наиболее удачного определения
Можно ли утверждать что мы достигли полного понимания того что такое человек,Среди учёных и Философов существует консенсус
В основе деизма лежит,Бог - часовщик
Социогенез- это,Всё вышеперечисленное
Институциональность государства не очевидна потому что,Первобытные общества вообще не имели никакого государства
Постиндустриальное общество предполагает Деградацию эстетическоговкуса и распространение массовой культуры в связи с,распространением средств массовой коммуникации
Самая наглядная типология общества предполагает разделение на,письменные и бесписьменные
"Работа 18 века, в которой человеческие взаимоотношения рассматриваются в качестве единства сил отталкивания(эгоизма) и притяжения (общности интересов), называется "" О человеке"". Кто ее автор?",Гельвеций
"Наиболее важными направлениями в современной эстетике, исследующим структуру эстетического опыта, являются:",обе эти традиции
"Духовный опыт человека может определять идейно-смысловое, ценностное единство общества, благодаря которому экономические, социальные и политические различия…",примиряются
"Какая концепция истины несостоятельна, с точки зрения Бертрана Рассела?",прагматическая
Какой из перечисленных типов мировоззрения НЕ выделяется Философами,оккультный
Кто из древнегреческих философов утверждал о тождестве бога и мышления?,Парменид
Кто из перечисленных НЕ является представителем конвенциалистиской концепции истины?,Р. Рорти
"В каком сочинении К.Маркса звучит тезис:""В практике должен доказать человек истинность своего мышления""?",тезисы о фейербахе
"Что в своей ""Критике способности суждения"" Кант полагал особенностью эстетического отношения к предмету?",незаинтересованность
"Кто из перечисленных философов не писал поэмы ""О природе""? Горгий/Фалес/Парменид",Фалес
Какая философская дисциплина является теорией ценностей?,Аксиология
"Кто является автором известного положения: ""Существование предшествует сущности""?",Ж-П Сартр
"Какой из перечисленных философов упрекнул этику в ненаучности, бросив ей обвинение в ""натуралистической ошибке""",Мур
Концепция в соответствие с которой подлинно достоверным существованием обладает только мое индивидуальное,Солипсизм
Какое из перечисленных ниже философских высказываний встречается в Евангелии,что есть истина?
"Какая концепция истины несостоятельна, с точки зрения Бертрана Рассела?",прагматическая
"Какой философ предлагает добиться ""феноменологической редукции"" с целью окончательного...",Гуссерль
В сочинениях какого философа впервые появилось слово философия,Гераклит
"Какое понятие Ясперс предложил для обозначения периода в истории человечества, во время которого мировоззрение пришло рационально",Осевое время
Какая из перечисленных школ не существовала в эпоху эллинизма?,Ионийцы
"философская концепция, отрицающая познаваемость человеком того, что не может быть непосредственно представлено в опыте, и утверждающая на этом основании принципиальную непознаваемость объективной реальности, Бога и метафизических сущностей вообще",Агностицизм
Какое понятие лежит в основе нравственной философии И.Канта?,долг
концепт Ламетри,человек-машина
"какой из вопросов, согласно Канту, не входит в сферу философии во всемирно-гражданском...?",что есть истина?
"Что в своей ""Критике способности суждения"" Кант полагал особенностью эстетического отношения к предмету?",Незаинтересованность +
"Кто из перечисленных философов не писал поэмы ""О природе""? Горгий/Фалес/Парменид",фалес+
Какие из перечисленных оппозиций НЕ являются примерами эстетических категорий?,истинное-ложное+
Латинским вариантом слова этика является,мораль +
что НЕ относится к золотому правилу нравственности?,"опроверг Ницше 13. (золотое правило этическое, не делайте другим то, что не желаете себе)"
Какое из перечисленных понятий не связано с именем Лейбница?,"ресентимент Понятие ресентимента впервые было введено немецким философом Фридрихом Ницше в его работе «К генеалогии морали». По мысли этого философа, ресентимент является определяющей характеристикой морали рабов, которая противостоит морали господ."
Какая философская дисциплина является теорией ценностей?,Аксиология+
Какая из перечисленных школ не существовала в эпоху эллинизма?,Ионийцы +
Ценность свободы - важнейшая ценность для политической философии,Либерализма+
Кто из перечисленных философов не входил в число экзистенциалистов?,А. Шопенгауэр+
"Кто является автором известного положения: ""Существование предшествует сущности""?",Ж.-П.Сартр +
Как называется раздел философии,Метаэтика
"Какой из перечисленных философов упрекнул этику в ненаучности, бросив ей обвинение в ""натуралистической ошибке""",Джордж Эдвард Мур +9
,"Агностицизм - философская концепция, 12 отрицающая познаваемость человеком того, что не может быть непосредственно представлено в опыте, и утверждающая на этом основании принципиальную непознаваемость объективной реальности, Бога и метафизических сущностей вообще"
Какое понятие лежит в основе нравственной философии И.Канта?,долг +35
Какие с точки зрения Аристотеля две добродетели ведут к собственному пониманию высшего блага,"рассудительность и мудрость+ Одним счастьем кажется добродетель, другим – рассудительность, третьим –
известная мудрость, а иным – вместе"
концепт Ламетри,человек-машина +
"какой из вопросов, согласно Канту, не входит в сферу философии во всемирно-гражданском...?",что есть истина?+22
С именем какого философа связывается лингвистический поворот в философии 20 века? (Делез; Фуко; Витгенштейн; Хайдеггер),Витгенштейн +
Кто является основателем проекта философской антропологии как отдельной отрасли?,М. Шелер +
"Какая мировоззренческая установка, характерная для средневекового сознания, предшествовала новоевропейскому антропоцентризму?",Теоцентризм+15
Какая из перечисленных наук не является источником знаний для антропологов,Геология +
"Согласно классической формуле Аристотеля, человек есть животное",политическое+
"Какая из перечисленных сфер не является,согласно Т.Парсонсу, основной сферой общественной жизни?",Личная +
Какой из перечисленных институтов существует в любом обществе?,Семья+
"Единственным общественным институтом, наделенный полномочиями легального применения силы, является",Государство+ 8
"Какое поняте по смыслу противоположно понятию ""секулярный""?",философия религии+ 5 (было клерикальный+)
Учение о конце времен в философии называется,Эстахологией +6
"Первым сторонником ""фактической истории"" (т.е. истории, сотворенной человеческими руками) является",Вико+
временная последовательность сменяющих друг друга событий...,исторический процесс +
методом сократической беседы является,Майевтика +
